                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0149,                 1.8314,                 1.1177,                0.87366,                0.55556,                 0.6468,                0.44791,                 0.9224,                 1.8038,                 1.0051,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0596,                 1.5921,                 1.0918,                0.84081,                0.49873,                0.66038,                0.46348,                 0.9267,                 1.8941,                  1.025,               0.000948,               0.000948,               0.000948
                     36,                0.94353,                 1.6119,                  1.129,                0.84016,                0.44385,                 0.5992,                 0.4166,                0.97875,                 2.1064,                 1.1047,             0.00093385,             0.00093385,             0.00093385
                     37,                0.88593,                 1.5743,                 1.0597,                0.78283,                0.46981,                0.61075,                0.44208,                0.92419,                 2.0067,                 1.1173,              0.0009197,              0.0009197,              0.0009197
                     38,                0.95291,                 1.4874,                 1.1245,                0.88731,                0.53333,                0.67671,                0.52413,                0.83263,                 1.6316,                 1.0851,             0.00090556,             0.00090556,             0.00090556
                     39,                0.90794,                 1.5338,                 1.0799,                0.95332,                  0.541,                0.70866,                0.56018,                0.73756,                 1.4734,                 1.0316,             0.00089141,             0.00089141,             0.00089141
                     40,                0.84756,                  1.392,                 1.0432,                0.91872,                    0.6,                0.73889,                0.58497,                0.70721,                 1.3821,                0.97077,             0.00087726,             0.00087726,             0.00087726
                     41,                0.80095,                 1.6193,                 1.0498,                0.86405,                0.66667,                0.69764,                0.54317,                0.70078,                 1.4341,                0.94484,             0.00086312,             0.00086312,             0.00086312
                     42,                0.91498,                 1.4876,                 1.0783,                0.87503,                0.66667,                0.71521,                0.56559,                0.76394,                 1.4425,                0.97916,             0.00084897,             0.00084897,             0.00084897
                     43,                0.94468,                 1.5455,                 1.1663,                0.88595,                0.66551,                0.71644,                0.56871,                0.79312,                 1.5558,                0.97744,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.8402,                 1.4461,                 1.0015,                0.90786,                0.62222,                0.71573,                0.58023,                0.77878,                 1.4843,                0.98016,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.8407,                 1.5406,                 1.0861,                0.92039,                0.55926,                0.73052,                0.60497,                0.67458,                 1.6093,                0.94976,             0.00080653,             0.00080653,             0.00080653
                     46,                0.83164,                 1.4372,                 1.0975,                0.49471,                0.76007,                0.72586,                0.58588,                0.68461,                 1.6369,                0.93497,             0.00079238,             0.00079238,             0.00079238
                     47,                0.87484,                 1.4622,                 1.1118,                0.56167,                0.70375,                0.72797,                0.59275,                0.71868,                 1.7084,                0.95373,             0.00077823,             0.00077823,             0.00077823
                     48,                0.79856,                 1.4083,                 1.0594,                0.60129,                0.83333,                0.73991,                 0.6079,                0.71035,                 1.5954,                0.98478,             0.00076409,             0.00076409,             0.00076409
                     49,                0.78986,                 1.3124,                 1.0005,                0.54581,                0.83333,                0.75581,                0.61088,                0.70133,                 1.5053,                 1.0201,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.8118,                 1.2939,                 1.0979,                0.94702,                0.66667,                0.83967,                0.67972,                0.74506,                 1.4711,                 1.0602,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.8265,                 1.3238,                 1.0474,                0.94437,                0.63629,                0.84543,                0.67753,                0.75561,                 1.5754,                 1.0665,             0.00072164,             0.00072164,             0.00072164
                     52,                0.88171,                 1.4115,                 1.0512,                0.70935,                0.83333,                0.84151,                0.68614,                  0.747,                 1.5688,                 1.0502,              0.0007075,              0.0007075,              0.0007075
                     53,                0.88269,                 1.3622,                 1.0673,                0.82165,                0.83333,                 0.8276,                0.66175,                0.74742,                  1.565,                 1.0219,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.7724,                 1.3456,                 1.0268,                0.82469,                0.83333,                0.85041,                 0.6778,                0.73954,                 1.5085,                0.99658,              0.0006792,              0.0006792,              0.0006792
                     55,                0.84513,                 1.3601,                 1.0611,                0.85939,                0.83333,                0.84831,                0.68524,                0.71758,                 1.4063,                0.99635,             0.00066506,             0.00066506,             0.00066506
                     56,                0.81782,                 1.3189,                 1.0842,                0.83653,                0.83333,                0.85479,                0.71297,                  0.691,                  1.302,                0.96589,             0.00065091,             0.00065091,             0.00065091
                     57,                   0.78,                 1.2484,                 1.0239,                0.87229,                0.83333,                0.84759,                0.72047,                0.70182,                 1.2301,                0.96237,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.8413,                 1.1861,                 1.0516,                0.90667,                0.83333,                0.86042,                0.71412,                0.68888,                 1.2489,                 0.9523,             0.00062262,             0.00062262,             0.00062262
                     59,                0.81203,                 1.1838,                  1.033,                0.89819,                0.83333,                0.85579,                0.72309,                0.62205,                 1.2635,                0.96531,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.7619,                 1.1444,                0.99688,                0.87657,                0.83333,                0.85333,                 0.7213,                0.60355,                 1.3595,                0.96492,             0.00059432,             0.00059432,             0.00059432
                     61,                0.73092,                 1.1315,                 0.9845,                0.87091,                0.83333,                 0.8562,                0.72794,                0.63827,                 1.3272,                0.97817,             0.00058017,             0.00058017,             0.00058017
                     62,                0.70096,                 1.1339,                0.94953,                0.87249,                0.83333,                0.85625,                0.73544,                0.63836,                 1.1836,                0.98227,             0.00056603,             0.00056603,             0.00056603
                     63,                0.73455,                 1.0736,                0.97844,                0.88421,                0.83333,                 0.8585,                0.74722,                0.59491,                 1.1638,                0.95418,             0.00055188,             0.00055188,             0.00055188
                     64,                0.82819,                 1.3222,                 1.0411,                0.91657,                0.83333,                0.86312,                0.77353,                0.55213,                 1.1749,                 0.9231,             0.00053773,             0.00053773,             0.00053773
                     65,                0.82709,                 1.2829,                 1.0183,                0.93578,                0.83333,                0.87972,                0.77756,                 0.5333,                 1.1901,                 0.9185,             0.00052359,             0.00052359,             0.00052359
                     66,                0.78096,                 1.1714,                0.99796,                 0.9474,                0.83333,                0.90896,                 0.7925,                0.56133,                 1.1624,                0.94643,             0.00050944,             0.00050944,             0.00050944
                     67,                0.83378,                  1.339,                  1.066,                0.92053,                0.96997,                0.99229,                0.87406,                0.55344,                  1.155,                0.94248,             0.00049529,             0.00049529,             0.00049529
                     68,                0.74778,                 1.1825,                0.98933,                0.92045,                0.96809,                0.99229,                0.86778,                0.54499,                 1.1395,                0.92636,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.7697,                  1.144,                0.99144,                0.91263,                0.96811,                0.99229,                0.85586,                0.56626,                 1.0878,                0.91041,               0.000467,               0.000467,               0.000467
                     70,                 0.7943,                 1.2167,                 1.0559,                0.94068,                0.83333,                0.93528,                 0.7968,                0.59846,                 1.0229,                0.88295,             0.00045285,             0.00045285,             0.00045285
                     71,                0.74969,                 1.0318,                 1.0153,                0.93249,                0.83333,                 0.9075,                0.77615,                0.60592,                 1.0125,                 0.8756,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67443,                 1.1642,                0.98891,                0.93003,                0.83333,                0.87847,                0.74402,                0.60248,                 1.0639,                0.86964,             0.00042456,             0.00042456,             0.00042456
                     73,                0.71979,                 1.1022,                0.98425,                0.92955,                0.83333,                0.90208,                0.78228,                0.58697,                 1.0795,                0.87044,             0.00041041,             0.00041041,             0.00041041
                     74,                0.69207,                 1.1022,                0.98877,                0.93518,                0.83333,                0.88396,                0.77404,                  0.588,                 1.0606,                0.87296,             0.00039626,             0.00039626,             0.00039626
                     75,                0.68071,                0.98924,                0.96616,                0.94383,                0.83333,                0.88396,                  0.772,                0.56799,                 1.0433,                0.87779,             0.00038211,             0.00038211,             0.00038211
                     76,                0.65347,                 1.0513,                0.99873,                0.94554,                0.83333,                0.88667,                0.79315,                0.54259,                 1.0623,                0.87137,             0.00036797,             0.00036797,             0.00036797
