                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2468,                  4.747,                 2.1009,                0.00363,                    0.5,                0.11457,                 0.0623,                 1.5669,                 4.6305,                 1.4421,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.9378,                 4.6788,                 1.8872,                0.00381,                    0.5,                0.30924,                0.18694,                 1.3732,                 4.4868,                  1.347,             4.7872e-05,             4.7872e-05,             4.7872e-05
                      3,                 1.8162,                 4.5712,                 1.8017,                0.00422,                    0.5,                0.48083,                0.27647,                 1.2166,                 4.3271,                 1.2767,             3.8869e-05,             3.8869e-05,             3.8869e-05
