                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.306,                  4.735,                 2.0473,                0.00172,                0.38519,                0.01943,                0.00848,                 1.5754,                 5.0006,                 1.6171,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.8055,                 4.4785,                 1.7851,                 0.0028,                0.65556,                0.19225,                 0.1183,                 1.1157,                 4.5719,                  1.304,             9.5079e-05,             9.5079e-05,             9.5079e-05
                      3,                 1.3276,                 3.8862,                 1.3937,                0.00407,                0.95556,                0.41035,                0.25645,                 1.0285,                 4.3763,                 1.1231,             0.00014163,             0.00014163,             0.00014163
                      4,                 1.2456,                 3.1301,                    1.3,                0.00464,                      1,                 0.6244,                0.45304,                0.78894,                 4.0631,                 1.0244,             0.00018252,             0.00018252,             0.00018252
                      5,                   1.24,                 2.8055,                 1.3135,                0.98638,                0.18519,                0.58574,                0.41904,                0.71079,                  3.919,                0.98109,             0.00021775,             0.00021775,             0.00021775
                      6,                 1.2147,                  2.674,                 1.2813,                0.00409,                      1,                0.58019,                0.40081,                 0.7784,                 3.9588,                 1.0257,             0.00024732,             0.00024732,             0.00024732
                      7,                 1.3286,                 2.7324,                 1.3039,                0.00438,                      1,                0.61953,                0.42062,                0.87356,                 3.8271,                 1.0273,             0.00027124,             0.00027124,             0.00027124
                      8,                 1.1736,                 2.4828,                 1.2225,                0.00608,                      1,                0.64827,                0.47557,                0.86273,                 3.7756,                0.98901,             0.00028949,             0.00028949,             0.00028949
                      9,                 1.2753,                 2.6193,                 1.2121,                0.00737,                      1,                0.66129,                0.48405,                0.77152,                 3.7255,                 0.9612,             0.00030209,             0.00030209,             0.00030209
                     10,                 1.0547,                 2.2379,                   1.12,                  0.007,                      1,                0.63795,                0.46553,                0.75287,                 3.8193,                0.99031,             0.00030903,             0.00030903,             0.00030903
                     11,                0.98744,                  2.698,                 1.1582,                0.00466,                0.98148,                0.60356,                0.40758,                0.74359,                 3.8333,                 1.0109,             0.00031031,             0.00031031,             0.00031031
                     12,                0.92687,                 2.5996,                 1.0865,                 0.0042,                0.98148,                0.57371,                  0.387,                0.79434,                 3.9136,                 1.0309,             0.00030593,             0.00030593,             0.00030593
                     13,                0.89577,                 2.4321,                 1.0607,                      1,                0.22274,                0.61857,                0.41914,                0.72753,                 3.6972,                0.99438,             0.00029589,             0.00029589,             0.00029589
                     14,                0.94219,                 2.5518,                 1.0845,                      1,                0.27301,                 0.6353,                0.45676,                0.70676,                 3.5933,                0.96836,             0.00028019,             0.00028019,             0.00028019
                     15,                0.93671,                 2.2732,                 1.1349,                      1,                 0.4286,                0.65749,                 0.4853,                0.68524,                 3.4568,                0.94083,             0.00025883,             0.00025883,             0.00025883
                     16,                0.91576,                 2.2553,                 1.0798,                      1,                0.35835,                0.65626,                0.47614,                0.71557,                  3.392,                0.94331,             0.00023182,             0.00023182,             0.00023182
                     17,                0.86573,                 2.3078,                 1.0311,                0.98565,                0.44927,                0.65864,                0.49763,                0.70034,                 3.3193,                0.93182,             0.00019915,             0.00019915,             0.00019915
                     18,                0.86996,                 2.1431,                 1.0489,                0.95897,                0.49882,                0.65604,                0.50292,                0.70138,                 3.2093,                0.94346,             0.00016081,             0.00016081,             0.00016081
                     19,                0.77851,                 2.0884,                  1.004,                0.95826,                0.55058,                0.66579,                0.50682,                0.69064,                 3.1411,                0.94159,             0.00011682,             0.00011682,             0.00011682
                     20,                0.78911,                 2.0476,                0.98159,                0.95608,                0.56133,                0.69829,                0.54424,                0.66579,                 3.0329,                0.93192,              6.717e-05,              6.717e-05,              6.717e-05
